"company","job description","required qualification","location"
"Hindustan Unilever Limited","Supply Chain Trainee. Assist in warehouse operations,  learn inventory management systems,  and support logistics coordination at the supply depot.","B.Com (Supply Chain) or Diploma in Logistics. Must meet PMIS age (21-24) and income (<8L) criteria.","Haridwar,  Uttarakhand"
"Wipro Limited","Business Process Outsourcing (BPO) Trainee. Learn to handle customer queries (voice/non-voice) for international clients. 12-month training in communication and process tools.","B.A.,  B.Sc,  or B.Com graduate (any discipline,  non-premier). Good English communication required. Must meet PMIS eligibility.","Pune,  Maharashtra"
"Mahindra and Mahindra Limited","Automotive Manufacturing Trainee. 12-month shop-floor role in the tractor division. Learn assembly,  quality testing,  and shop-floor discipline.","ITI (Mechanic/Diesel Mechanic) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Nagpur,  Maharashtra"
"GAIL (India) Limited","Pipeline Maintenance Trainee. Assist technical teams in monitoring pipeline health,  supporting maintenance activities,  and learning safety protocols for natural gas transport.","Diploma in Mechanical/Instrumentation Engineering or ITI (Fitter). Must meet PMIS age and income criteria.","Vijaipur,  Madhya Pradesh"
"Cognizant Technology Solutions","IT Recruitment Support Trainee. Provide administrative support to the talent acquisition team. Learn to source candidates,  schedule interviews,  and manage applicant data.","BBA (HR) or B.A. (Psychology/English) graduate (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Hyderabad,  Telangana"
"Bajaj Auto Limited","Two-Wheeler Assembly Trainee. A 12-month hands-on role at the manufacturing plant. Support assembly line,  conduct pre-delivery inspections,  and learn quality control systems.","ITI (Mechanic) or Diploma in Automobile Engineering. Minimum Class 10 pass. Must meet PMIS age and income criteria.","Chakan,  Maharashtra"
"NTPC Limited","Thermal Power Plant Operations Trainee. Learn control room operations,  assist in monitoring plant efficiency,  and support environmental compliance checks.","Diploma in Electrical/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Sipat,  Chhattisgarh"
"Axis Bank Limited","Customer Service Intern. A 12-month role at a central processing center. Handle customer queries via email and chat,  resolve account issues,  and escalate technical problems.","Class 12 Pass or B.A. (any discipline). Strong communication skills required. Must meet PMIS age and income criteria.","Bengaluru,  Karnataka"
"Emcure","Quality Assurance Trainee (Pharma). Assist the QA team in documentation,  sample management,  and learning compliance procedures for pharmaceutical manufacturing.","B.Sc (Chemistry/Microbiology) (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Jammu,  Jammu and Kashmir"
"Indian Oil Corporation Limited","Refinery Operations Trainee. 12-month hands-on training in refinery processes. Support shift operations,  data logging,  and safety checks in a designated unit.","Diploma in Chemical/Petroleum Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Panipat,  Haryana"
"MOIL Ltd","Underground Mine Operations Trainee. Learn mining operations,  assist in safety drills,  and support the data-keeping for manganese ore extraction. 12-month on-site role.","Diploma in Mining Engineering or ITI (Mining). Must meet PMIS age (21-24) and income (<8L) criteria.","Balaghat,  Madhya Pradesh"
"Tata Consumer Products Limited","Food Production Trainee. Support operations at the tea/salt packing plant. Learn quality control,  packaging machinery operation,  and supply chain logistics.","ITI (Fitter/Electrician) or Class 12 Pass. Must meet PMIS age (21-24) and income (<8L) criteria.","Mithapur,  Gujarat"
"Hindustan Petroleum Corporation Limited","LPG Bottling Plant Trainee. 12-month role assisting in plant operations,  safety compliance checks,  and logistics coordination for LPG distribution.","Diploma in Mechanical Engineering or ITI (Fitter). Must meet PMIS age (21-24) and income (<8L) criteria.","Visakhapatnam,  Andhra Pradesh"
"Reliance Retail Limited","Retail Store Operations Trainee. Learn all functions of a large-format retail store,  including inventory management,  merchandising,  customer service,  and point-of-sale (POS) operations.","Class 12 Pass or B.Com/B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Navi Mumbai,  Maharashtra"
"JSW Steel Limited","Steel Plant Operations Trainee. A 12-month role supporting the steel melting shop,  assisting in process monitoring,  and learning quality assurance protocols.","Diploma in Metallurgical/Mechanical Engineering or B.Sc (Physics/Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria.","Vijayanagar,  Karnataka"
"Power Grid Corporation of India Limited","Substation Maintenance Trainee (Electrical). Learn high-voltage substation operations,  assist in equipment maintenance,  and support safety and testing procedures.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Gurugram,  Haryana"
"ITC Limited","Hospitality Operations Trainee. A 12-month rotational program in a hotel environment. Learn front office,  housekeeping,  and F&B service operations.","B.Sc in Hospitality or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Tata Consultancy Services Limited","HR Shared Services Trainee. Provide administrative support for the employee lifecycle,  assist in managing documentation,  and learn to use internal HR platforms.","BBA or B.Com (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Gandhinagar,  Gujarat"
"HCL Technologies Limited","IT Infrastructure Trainee. Learn to provide basic support for network systems,  assist in server monitoring,  and manage IT asset inventory.","Diploma in Computer Science/IT or B.Sc (IT). Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT/NIT.","Chennai,  Tamil Nadu"
"Muthoot Finance Limited","Branch Operations Intern. A 12-month program to support branch operations. Assist with customer verification (KYC),  learn documentation procedures for financial products,  and provide back-office administrative support.","B.Com or B.A. Graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kanyakumari,  Tamil Nadu"
"Oil India Limited","Field Operations Trainee (Mechanical). Assist maintenance teams at on-shore oil/gas installations. Learn equipment repair,  safety protocols,  and operational logging.","Diploma in Mechanical Engineering or ITI (Fitter). Must meet PMIS age (21-24) and income (<8L) criteria.","Duliajan,  Assam"
"Steel Authority of India Limited","Steel Plant Trainee (Operations). 12-month hands-on training in plant operations,  assisting in production,  quality control,  and shop-floor safety management.","Diploma in Metallurgical/Mechanical Engineering or B.Sc (Physics). Must meet PMIS age (21-24) and income (<8L) criteria.","Rourkela,  Odisha"
"Kotak Mahindra Bank Limited","Back-Office Operations Trainee. 12-month role in a central processing unit. Support account opening verification,  data entry,  and documentation compliance.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Tech Mahindra Limited","Customer Support Trainee (Telecom). Learn to handle customer queries for a major telecom client,  troubleshoot service issues,  and process service requests.","B.A. or B.Sc (any discipline,  non-premier). Good communication skills required. Must meet PMIS age (21-24) and income (<8L) criteria.","Chandigarh,  Punjab"
"Capgemini Technology Services India Limited","Finance and Accounting Trainee. 12-month role in the F&A BPO division. Learn accounts payable/receivable processes,  data entry,  and reconciliation tasks.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Salem,  Tamil Nadu"
"Northern Coalfields Limited","Mining Operations Trainee. Assist in open-cast mining operations,  support safety checks,  and learn heavy machinery coordination. 12-month on-site role.","Diploma in Mining Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Cement Plant Operations Trainee. 12-month rotational training in quality control (lab),  production,  and maintenance at a cement manufacturing plant.","Diploma in Chemical/Mechanical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Reddipalayam,  Tamil Nadu"
"Accenture Solutions Private Limited","Business Operations Support Trainee. Provide project support and administrative assistance. Learn data management,  reporting,  and process documentation.","B.A.,  B.Com,  or BBA graduate (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Hero MotoCorp Limited","Two-Wheeler Manufacturing Trainee. 12-month shop-floor role. Support assembly line,  assist in quality inspection,  and learn lean manufacturing principles.","ITI (Mechanic/Fitter) or Diploma in Automobile Engineering. Must meet PMIS age and income criteria.","Dharuhera,  Haryana"
"NHPC Limited","Hydro-Power Plant Trainee (Civil). Assist in dam safety inspections,  support civil maintenance work,  and learn data logging for power plant operations.","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Chamera,  Himachal Pradesh"
"Power Finance Corporation Limited","Finance Trainee (Admin). 12-month role assisting the finance department with documentation,  file management,  and data entry. (Note: HQ-based role).","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"Asian Paints Limited","Paint Manufacturing Trainee (Chemical). 12-month role at a production plant. Assist in process monitoring,  quality control sampling,  and learning safety protocols.","Diploma in Chemical Engineering or B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria.","Sriperumbudur,  Tamil Nadu"
"IndusInd Bank Ltd","Branch Banking Intern. Support branch staff with customer service,  new account openings,  and KYC compliance. 12-month,  customer-facing role.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Indore,  Madhya Pradesh"
"Samsung India Electronics Private Limited","Electronics Assembly Trainee. 12-month hands-on role supporting the mobile phone assembly line,  learning quality checks,  and operational procedures.","Diploma in Electronics (ECE) or ITI (Electronics). Minimum Class 10 pass. Must meet PMIS age and income criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","Colliery Operations Trainee. 12-month on-site role. Assist in mining operations,  support survey teams,  and learn safety and environmental compliance.","Diploma in Mining Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Sambalpur,  Odisha"
"REC Limited","Administrative Trainee (HR/Admin). Provide support to HR and Admin departments. Assist with file management,  documentation,  and office coordination. (Note: HQ-based role).","B.A. or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"Shriram Finance Limited","Commercial Vehicle Finance Trainee. 12-month field and branch role. Learn to assist in loan documentation,  customer verification,  and collections support.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Jaipur,  Rajasthan"
"Bandhan Bank Limited","Micro-Finance Field Trainee. 12-month role involving fieldwork. Learn customer acquisition in rural/semi-urban areas,  group loan processing,  and collections.","Class 12 Pass or B.A. (any discipline). Must be willing to travel. Must meet PMIS age and income criteria.","Howrah,  West Bengal"
"Ambuja Cements Limited","Cement Plant Maintenance Trainee (Mechanical). Assist the maintenance team in preventive and breakdown maintenance of plant machinery. 12-month hands-on role.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Bhatapara,  Chhattisgarh"
"Oil and Natural Gas Corporation Limited","Administrative Support Trainee. 12-month office role supporting a regional office. Assist in file management,  data entry,  and procurement documentation.","B.A. or B.Com graduate (non-premier institute). Basic computer skills required. Must meet PMIS age and income criteria.","Dehradun,  Uttarakhand"
"Maruti Suzuki India Limited","Vehicle Quality Check Trainee. 12-month role focused on final vehicle inspection. Learn to check paint quality,  electronic functions,  and test drive vehicles for issues.","Diploma in Automobile/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Gurugram,  Haryana"
"HDFC Bank Limited","Loan Processing Trainee. 12-month role at a central processing hub. Verify loan application documents,  check CIBIL scores,  and coordinate with branches.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Reliance Industries Limited","Retail Operations Trainee (Reliance Trends). 12-month role in a fashion retail store. Learn visual merchandising,  inventory management,  and customer service.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Ahmedabad,  Gujarat"
"Infosys Limited","HR Onboarding Support Trainee. Assist the HR team with managing new hire documentation,  conducting pre-joining formalities,  and supporting induction day logistics.","BBA or B.Com (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Tata Steel Limited","Quality Control Lab Trainee. 12-month role in the metallurgical lab. Learn to prepare samples,  conduct mechanical testing (tensile,  hardness),  and record results.","B.Sc (Physics/Chemistry) or Diploma in Metallurgy. Must meet PMIS age (21-24) and income (<8L) criteria.","Kalinganagar,  Odisha"
"Larsen and Toubro Limited","Heavy Engineering Trainee (Mechanical). 12-month role at a heavy engineering workshop. Learn fabrication processes,  welding inspection,  and quality assurance.","Diploma in Mechanical/Production Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Hazira,  Gujarat"
"ICICI Bank Limited","Operations Trainee (Data Entry). 12-month back-office role. Support data entry for trade finance operations,  verify documents,  and prepare reports.","B.Com or B.Sc (Stats) graduate (non-premier institute). Good typing speed required. Must meet PMIS eligibility.","Hyderabad,  Telangana"
"Hindustan Unilever Limited","Factory Operations Trainee. 12-month hands-on role at a food/beverage plant. Learn production line operations,  packaging,  and factory safety protocols.","ITI (Fitter/Electrician) or Class 12 Pass (Science). Must meet PMIS age (21-24) and income (<8L) criteria.","Nashik,  Maharashtra"
"Wipro Limited","IT Asset Management Trainee. 12-month role assisting the IT team. Learn to manage inventory of laptops/desktops,  process new requests,  and handle asset disposal.","Diploma in Computer Hardware or B.Sc (IT). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Mahindra and Mahindra Limited","Farm Equipment Sales Trainee. 12-month field and office role. Support the area sales team,  interact with dealers,  and learn the tractor sales process.","B.Sc (Agriculture) or BBA (Marketing) (non-premier). Must meet PMIS age and income criteria.","Ludhiana,  Punjab"
"GAIL (India) Limited","Operations Trainee (Gas Processing Plant). 12-month role assisting in plant operations,  monitoring parameters,  and supporting safety and environmental compliance.","Diploma in Chemical Engineering or B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria.","Pata,  Uttar Pradesh"
"Bajaj Auto Limited","Quality Assurance Trainee (Engine Assembly). 12-month role focused on engine quality. Learn to use testing equipment,  inspect components,  and document non-conformance.","Diploma in Mechanical/Automobile Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Waluj,  Maharashtra"
"NTPC Limited","Renewable Energy Trainee (Solar). 12-month on-site role at a solar park. Assist in monitoring solar panel efficiency,  supporting maintenance,  and data logging.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Anantapur,  Andhra Pradesh"
"Axis Bank Limited","HR Operations Trainee. 12-month role at a regional office. Assist with payroll data collection,  leave management,  and employee file documentation.","BBA (HR) or B.Com graduate (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Indian Oil Corporation Limited","Logistics Trainee (Terminals). 12-month role at a petroleum storage terminal. Learn inventory management,  tanker loading/unloading safety protocols,  and depot administration.","Diploma in Mechanical/Operations Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Kochi,  Kerala"
"Hindustan Petroleum Corporation Limited","Refinery Maintenance Trainee (Instrumentation). 12-month hands-on role. Assist technicians in calibrating,  testing,  and maintaining process control instruments.","Diploma in Instrumentation/Electronics Engineering (EIE/ECE). Must meet PMIS age and income criteria.","Mumbai,  Maharashtra"
"Reliance Retail Limited","E-commerce Warehouse Trainee. 12-month role in a fulfillment center (JioMart). Learn inbound/outbound logistics,  order picking/packing,  and inventory software.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"JSW Steel Limited","Port Operations Trainee. 12-month role at a captive port. Assist in managing bulk cargo (iron ore/coal),  coordinate with ships,  and learn port logistics.","Diploma in Logistics/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Dharamtar,  Maharashtra"
"Power Grid Corporation of India Limited","Project Site Trainee (Civil). Assist in managing transmission line construction sites. Support site surveys,  foundation work inspection,  and progress reporting.","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Patna,  Bihar"
"ITC Limited","Agri-Business Trainee (E-Choupal). 12-month field role. Interact with farmers,  learn commodity procurement processes,  and support warehouse operations.","B.Sc (Agriculture) (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bhopal,  Madhya Pradesh"
"Tata Consultancy Services Limited","Finance Trainee (Accounts Payable). 12-month role processing vendor invoices,  verifying payments,  and handling vendor queries.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"HCL Technologies Limited","Software Testing Trainee. Learn to execute manual test cases,  identify and log defects,  and support the quality assurance team on an internal project.","B.Sc (Computer Science) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Nagpur,  Maharashtra"
"Muthoot Finance Limited","Gold Appraiser Trainee. 12-month branch role. Learn to test gold purity,  weigh ornaments,  and manage documentation for gold loans under supervision.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Madurai,  Tamil Nadu"
"Oil India Limited","Drilling Operations Support Trainee. 12-month on-site role at a drilling rig. Assist in managing drilling fluid (mud),  maintain equipment logs,  and support safety drills.","Diploma in Petroleum/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Jaisalmer,  Rajasthan"
"Steel Authority of India Limited","Plant Safety Trainee. 12-month role assisting the plant safety department. Support safety audits,  tool-box talks,  and maintain safety records.","Diploma in Industrial Safety or B.Sc (Physics/Chemistry). Must meet PMIS age and income criteria.","Bokaro,  Jharkhand"
"Kotak Mahindra Bank Limited","Phone Banking Officer Trainee. 12-month role handling inbound customer calls. Resolve queries,  provide account information,  and cross-sell banking products.","B.A. or B.Com graduate (non-premier). Good communication skills required. Must meet PMIS eligibility.","Thane,  Maharashtra"
"Tech Mahindra Limited","IT Helpdesk Trainee (Internal). 12-month role supporting internal employees. Learn to troubleshoot hardware/software issues,  set up new user accounts,  and manage IT assets.","Diploma in Computer Science/IT or B.Sc (IT). Must meet PMIS age (21-24) and income (<8L) criteria.","Bhubaneswar,  Odisha"
"Northern Coalfields Limited","HEMM Maintenance Trainee (Mechanical). Assist in the maintenance and repair of Heavy Earth Moving Machinery (dumpers,  shovels). 12-month workshop/field role.","Diploma in Mechanical/Automobile Engineering or ITI (Mechanic). Must meet PMIS age and income criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Quality Control Lab Trainee. 12-month role in the cement lab. Learn chemical and physical testing of cement,  raw materials,  and clinker. Record and report data.","B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria. Not from premier institute.","Chittorgarh,  Rajasthan"
"Hero MotoCorp Limited","Paint Shop Trainee. 12-month role supporting the vehicle paint shop. Learn surface preparation,  painting processes,  and quality inspection of painted parts.","Diploma in Chemical/Paint Technology or ITI (Painter). Must meet PMIS age and income criteria.","Halol,  Gujarat"
"NHPC Limited","Power Plant Trainee (Electrical). 12-month role at a hydro-power station. Assist in maintenance of generators,  transformers,  and switchgear. Learn control room operations.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Teesta,  Sikkim"
"Asian Paints Limited","Warehouse Operations Trainee. 12-month role at a regional distribution center. Learn inventory management (SAP),  order processing,  and logistics coordination.","B.Com or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kasna,  Uttar Pradesh"
"IndusInd Bank Ltd","Trade Finance Operations Trainee. 12-month back-office role. Learn to process letters of credit,  bank guarantees,  and export/import documents.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Samsung India Electronics Private Limited","R&D Support Trainee (Software). Assist in manual testing of software for mobile devices,  log bugs,  and support the R&D team with documentation.","B.Sc (Computer Science) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Mahanadi Coalfields Limited","Survey Trainee (Mining). 12-month on-site role. Assist survey teams in conducting measurements,  maintaining records,  and updating mine plans.","Diploma in Mining Survey or Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Talcher,  Odisha"
"Shriram Finance Limited","Branch Administration Trainee. 12-month back-office role in a branch. Support file management,  data entry,  and customer documentation for financing.","Class 12 Pass or B.A. (any discipline). Basic computer skills required. Must meet PMIS age and income criteria.","Vijayawada,  Andhra Pradesh"
"Bandhan Bank Limited","Audit Support Trainee. 12-month role assisting the internal audit team. Support branch audits,  verify documents,  and assist in preparing audit reports.","B.Com (Accounts/Finance) (non-premier institute). Must meet PMIS age and income criteria.","Guwahati,  Assam"
"Ambuja Cements Limited","Environmental Trainee (Plant). 12-month role assisting the EHS department. Learn environmental monitoring,  data collection,  and compliance reporting.","B.Sc (Environmental Science) (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Darlaghat,  Himachal Pradesh"
"Oil and Natural Gas Corporation Limited","HR Trainee (Admin). 12-month role in a regional HR department. Assist with employee records,  leave management,  and processing claims.","BBA or B.A. (any discipline) graduate (non-premier). Must meet PMIS age and income criteria.","Ankleshwar,  Gujarat"
"Maruti Suzuki India Limited","Supply Chain Trainee (Procurement). 12-month office role. Assist in managing vendor data,  processing purchase orders,  and coordinating with suppliers.","B.Com or BBA (Supply Chain) (non-premier institute). Must meet PMIS age and income criteria.","Gurugram,  Haryana"
"HDFC Bank Limited","Credit Card Operations Trainee. 12-month back-office role. Support customer onboarding,  verify applications,  and handle data entry for the credit card division.","B.A. or B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Reliance Industries Limited","Operations Trainee (Textiles). 12-month role at a textile manufacturing plant. Learn weaving/spinning operations,  quality checks,  and maintenance.","Diploma in Textile Technology or ITI (Textile). Must meet PMIS age (21-24) and income (<8L) criteria.","Silvassa,  Dadra and Nagar Haveli"
"Infosys Limited","Data Entry Operations Trainee (BPO). 12-month back-office role. Perform high-volume data entry for a client process,  ensure accuracy,  and meet daily targets.","Class 12 Pass or B.A. (any discipline). Good typing speed and attention to detail required. Must meet PMIS eligibility.","Jaipur,  Rajasthan"
"Tata Steel Limited","Electrical Maintenance Trainee. 12-month hands-on role in the plant. Assist electricians in maintaining motors,  panels,  and cabling. Learn troubleshooting and safety.","ITI (Electrician) or Diploma in Electrical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Jamshedpur,  Jharkhand"
"Larsen and Toubro Limited","Finance and Accounts Trainee. 12-month role supporting a project site office. Assist with vendor bill processing,  time-keeping,  and expense reporting.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"ICICI Bank Limited","Phone Banking Trainee (Inbound Sales). 12-month role handling customer calls. Resolve queries and cross-sell products like insurance,  personal loans.","B.A. or B.Com graduate (non-premier). Good communication skills required. Must meet PMIS eligibility.","Hyderabad,  Telangana"
"Hindustan Unilever Limited","R&D Support Trainee (Lab). 12-month role in an R&D lab. Assist scientists with preparing formulations,  stability testing,  and lab management.","B.Sc (Chemistry) (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Wipro Limited","GIS Data Analyst Trainee. 12-month role learning to analyze and edit geospatial data for mapping projects. Requires strong attention to detail.","B.Sc (Geography/Geology) or B.A. (Geography) (non-premier). Must meet PMIS age and income criteria.","Hyderabad,  Telangana"
"Mahindra and Mahindra Limited","Vehicle R&D Support Trainee. 12-month role supporting the R&D center. Assist engineers with component testing,  data logging,  and prototype assembly.","Diploma in Mechanical/Automobile Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Chennai,  Tamil Nadu"
"GAIL (India) Limited","HR Trainee (Admin). 12-month role at a regional office. Support recruitment coordination,  employee onboarding,  and managing personnel files.","BBA (HR) or B.A. (any discipline) graduate (non-premier). Must meet PMIS age and income criteria.","New Delhi,  Delhi"
"Bajaj Auto Limited","Maintenance Trainee (Electrical). 12-month role supporting the plant electrical maintenance team. Assist with PLC troubleshooting,  motor maintenance,  and automation.","Diploma in Electrical/Electronics Engineering (EEE/ECE). Must meet PMIS age and income criteria.","Chakan,  Maharashtra"
"NTPC Limited","Civil Maintenance Trainee. 12-month on-site role. Assist in monitoring and maintaining civil structures (cooling towers,  chimneys,  plant buildings).","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Dadri,  Uttar Pradesh"
"Axis Bank Limited","Cash Management Trainee. 12-month role in a currency chest. Learn cash counting,  sorting,  verification,  and RBI reporting compliance.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Nagpur,  Maharashtra"
"Indian Oil Corporation Limited","Retail Outlet Trainee (Sales). 12-month field role. Support field officers in managing petrol pump operations,  sales tracking,  and compliance checks.","BBA (Marketing) or B.Com graduate (non-premier). Must meet PMIS age and income criteria.","Chandigarh,  Punjab"
"Hindustan Petroleum Corporation Limited","Aviation Fueling Trainee. 12-month role at an Aviation Fuelling Station (Airport). Learn quality control checks,  refuelling operations,  and safety protocols.","Diploma in Mechanical Engineering or B.Sc (Physics/Chemistry). Must meet PMIS age and income criteria.","New Delhi,  Delhi"
"Reliance Retail Limited","Logistics Trainee (JioMart). 12-month role at a local distribution hub. Support last-mile delivery operations,  manage inventory,  and coordinate with delivery partners.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
